fault,magnitude,baseline_split,fault_split,optimum_moved,stay_bottleneck_ms,adapt_bottleneck_ms,predicted_benefit_ms,predicted_benefit_pct,note
thermal,speed=1.0,0-18/18-28,0-18/18-28,false,112.5900,112.5900,0.0000,0.0000,
thermal,speed=0.9,0-18/18-28,0-18/18-28,false,118.6111,118.6111,0.0000,0.0000,
thermal,speed=0.8,0-18/18-28,0-20/20-28,true,133.3750,125.0900,8.2850,6.2118,
thermal,speed=0.7,0-18/18-28,0-21/21-28,true,152.3571,131.3400,21.0171,13.7947,
thermal,speed=0.6,0-18/18-28,0-22/22-28,true,177.6667,137.5900,40.0767,22.5572,
thermal,speed=0.5,0-18/18-28,0-24/24-28,true,213.1000,150.0900,63.0100,29.5683,
thermal,speed=0.4,0-18/18-28,0-25/25-28,true,266.2500,156.8750,109.3750,41.0798,
thermal,speed=0.3,0-18/18-28,0-27/27-28,true,354.8333,168.8400,185.9933,52.4171,
thermal,speed=0.2,0-18/18-28,0-28/28-28,true,532.0000,218.8900,313.1100,58.8553,
thermal,speed=0.1,0-18/18-28,0-28/28-28,true,1063.5000,218.8900,844.6100,79.4180,
network,delay=0ms,0-18/18-28,0-18/18-28,false,112.5900,112.5900,0.0000,0.0000,
network,delay=5ms,0-18/18-28,0-18/18-28,false,112.5900,112.5900,0.0000,0.0000,
network,delay=10ms,0-18/18-28,0-18/18-28,false,116.3000,116.3000,0.0000,0.0000,
network,delay=20ms,0-18/18-28,0-19/19-28,true,126.3000,120.0500,6.2500,4.9485,
network,delay=40ms,0-18/18-28,0-21/21-28,true,146.3000,131.3400,14.9600,10.2256,
network,delay=80ms,0-18/18-28,0-24/24-28,true,186.3000,150.0900,36.2100,19.4364,
network,delay=120ms,0-18/18-28,0-27/27-28,true,226.3000,170.0500,56.2500,24.8564,
network,delay=200ms,0-18/18-28,0-28/28-28,true,306.3000,218.8900,87.4100,28.5374,
device loss,2->1 workers,0-18/18-28,0-28,true,0.0000,218.8900,0.0000,0.0000,"not optional: the baseline split is unservable, so 'stay' has no defined cost"
