fault,magnitude,baseline_split,fault_split,optimum_moved,stay_bottleneck_ms,adapt_bottleneck_ms,predicted_benefit_ms,predicted_benefit_pct,note
thermal,speed=1.0,0-14/14-28,0-14/14-28,false,140.5000,140.5000,0.0000,0.0000,
thermal,speed=0.9,0-14/14-28,0-15/15-28,true,156.0556,150.0000,6.0556,3.8804,
thermal,speed=0.8,0-14/14-28,0-16/16-28,true,175.5000,160.0000,15.5000,8.8319,
thermal,speed=0.7,0-14/14-28,0-17/17-28,true,200.5000,170.0000,30.5000,15.2120,
thermal,speed=0.6,0-14/14-28,0-18/18-28,true,233.8333,180.0000,53.8333,23.0221,
thermal,speed=0.5,0-14/14-28,0-19/19-28,true,280.5000,190.0000,90.5000,32.2638,
thermal,speed=0.4,0-14/14-28,0-20/20-28,true,350.5000,200.5000,150.0000,42.7960,
thermal,speed=0.3,0-14/14-28,0-22/22-28,true,467.1667,220.0000,247.1667,52.9076,
thermal,speed=0.2,0-14/14-28,0-24/24-28,true,700.5000,240.0000,460.5000,65.7388,
thermal,speed=0.1,0-14/14-28,0-26/26-28,true,1400.5000,260.0000,1140.5000,81.4352,
network,delay=0ms,0-14/14-28,0-14/14-28,false,140.5000,140.5000,0.0000,0.0000,
network,delay=5ms,0-14/14-28,0-14/14-28,false,145.0000,145.0000,0.0000,0.0000,
network,delay=10ms,0-14/14-28,0-14/14-28,false,150.0000,150.0000,0.0000,0.0000,
network,delay=20ms,0-14/14-28,0-15/15-28,true,160.0000,150.0000,10.0000,6.2500,
network,delay=40ms,0-14/14-28,0-16/16-28,true,180.0000,160.0000,20.0000,11.1111,
network,delay=80ms,0-14/14-28,0-18/18-28,true,220.0000,180.0000,40.0000,18.1818,
network,delay=120ms,0-14/14-28,0-20/20-28,true,260.0000,200.0000,60.0000,23.0769,
network,delay=200ms,0-14/14-28,0-24/24-28,true,340.0000,240.0000,100.0000,29.4118,
device loss,2->1 workers,0-14/14-28,0-28,true,0.0000,280.0000,0.0000,0.0000,"not optional: the baseline split is unservable, so 'stay' has no defined cost"
