fault,magnitude,baseline_split,fault_split,optimum_moved,stay_bottleneck_ms,adapt_bottleneck_ms,predicted_benefit_ms,predicted_benefit_pct,note
thermal,speed=1.0,0-16/16-28,0-16/16-28,false,158.1800,158.1800,0.0000,0.0000,
thermal,speed=0.9,0-16/16-28,0-17/17-28,true,175.7000,165.1556,10.5444,6.0014,
thermal,speed=0.8,0-16/16-28,0-18/18-28,true,197.6000,173.8750,23.7250,12.0066,
thermal,speed=0.7,0-16/16-28,0-19/19-28,true,225.7571,185.0857,40.6714,18.0156,
thermal,speed=0.6,0-16/16-28,0-21/21-28,true,263.3000,199.3800,63.9200,24.2765,
thermal,speed=0.5,0-16/16-28,0-22/22-28,true,315.8600,208.8700,106.9900,33.8726,
thermal,speed=0.4,0-16/16-28,0-24/24-28,true,394.7000,227.8500,166.8500,42.2726,
thermal,speed=0.3,0-16/16-28,0-25/25-28,true,526.1000,241.4000,284.7000,54.1152,
thermal,speed=0.2,0-16/16-28,0-27/27-28,true,788.9000,266.9500,521.9500,66.1617,
thermal,speed=0.1,0-16/16-28,0-28/28-28,true,1577.3000,309.6100,1267.6900,80.3709,
network,delay=0ms,0-16/16-28,0-16/16-28,false,158.1800,158.1800,0.0000,0.0000,
network,delay=5ms,0-16/16-28,0-17/17-28,true,162.6800,161.4200,1.2600,0.7745,
network,delay=10ms,0-16/16-28,0-17/17-28,true,167.6800,161.4200,6.2600,3.7333,
network,delay=20ms,0-16/16-28,0-17/17-28,true,177.6800,168.1900,9.4900,5.3411,
network,delay=40ms,0-16/16-28,0-18/18-28,true,197.6800,178.7000,18.9800,9.6014,
network,delay=80ms,0-16/16-28,0-21/21-28,true,237.6800,199.3800,38.3000,16.1141,
network,delay=120ms,0-16/16-28,0-23/23-28,true,277.6800,218.3600,59.3200,21.3627,
network,delay=200ms,0-16/16-28,0-27/27-28,true,357.6800,256.3200,101.3600,28.3382,
device loss,2->1 workers,0-16/16-28,0-28,true,0.0000,309.6100,0.0000,0.0000,"not optional: the baseline split is unservable, so 'stay' has no defined cost"
