fault,magnitude,baseline_split,fault_split,optimum_moved,stay_bottleneck_ms,adapt_bottleneck_ms,predicted_benefit_ms,predicted_benefit_pct,note
thermal,speed=1.0,0-14/14-28,0-14/14-28,false,420.5000,420.5000,0.0000,0.0000,
thermal,speed=0.9,0-14/14-28,0-15/15-28,true,467.1667,450.0000,17.1667,3.6746,
thermal,speed=0.8,0-14/14-28,0-16/16-28,true,525.5000,480.0000,45.5000,8.6584,
thermal,speed=0.7,0-14/14-28,0-17/17-28,true,600.5000,510.0000,90.5000,15.0708,
thermal,speed=0.6,0-14/14-28,0-18/18-28,true,700.5000,540.0000,160.5000,22.9122,
thermal,speed=0.5,0-14/14-28,0-19/19-28,true,840.5000,570.0000,270.5000,32.1832,
thermal,speed=0.4,0-14/14-28,0-20/20-28,true,1050.5000,600.5000,450.0000,42.8367,
thermal,speed=0.3,0-14/14-28,0-22/22-28,true,1400.5000,660.0000,740.5000,52.8740,
thermal,speed=0.2,0-14/14-28,0-24/24-28,true,2100.5000,720.0000,1380.5000,65.7224,
thermal,speed=0.1,0-14/14-28,0-26/26-28,true,4200.5000,780.0000,3420.5000,81.4308,
network,delay=0ms,0-14/14-28,0-14/14-28,false,420.5000,420.5000,0.0000,0.0000,
network,delay=5ms,0-14/14-28,0-14/14-28,false,425.0000,425.0000,0.0000,0.0000,
network,delay=10ms,0-14/14-28,0-14/14-28,false,430.0000,430.0000,0.0000,0.0000,
network,delay=20ms,0-14/14-28,0-14/14-28,false,440.0000,440.0000,0.0000,0.0000,
network,delay=40ms,0-14/14-28,0-15/15-28,true,460.0000,450.0000,10.0000,2.1739,
network,delay=80ms,0-14/14-28,0-15/15-28,true,500.0000,470.0000,30.0000,6.0000,
network,delay=120ms,0-14/14-28,0-16/16-28,true,540.0000,480.0000,60.0000,11.1111,
network,delay=200ms,0-14/14-28,0-17/17-28,true,620.0000,530.0000,90.0000,14.5161,
device loss,2->1 workers,0-14/14-28,0-28,true,0.0000,840.0000,0.0000,0.0000,"not optional: the baseline split is unservable, so 'stay' has no defined cost"
