fault,magnitude,baseline_split,fault_split,optimum_moved,stay_bottleneck_ms,adapt_bottleneck_ms,predicted_benefit_ms,predicted_benefit_pct,note
thermal,speed=1.0,0-18/18-28,0-18/18-28,false,99.9900,99.9900,0.0000,0.0000,
thermal,speed=0.9,0-18/18-28,0-19/19-28,true,110.8333,105.5400,5.2933,4.7759,
thermal,speed=0.8,0-18/18-28,0-20/20-28,true,124.6250,111.0900,13.5350,10.8606,
thermal,speed=0.7,0-18/18-28,0-21/21-28,true,142.3571,118.5714,23.7857,16.7085,
thermal,speed=0.6,0-18/18-28,0-23/23-28,true,166.0000,127.7400,38.2600,23.0482,
thermal,speed=0.5,0-18/18-28,0-24/24-28,true,199.1000,133.2900,65.8100,33.0537,
thermal,speed=0.4,0-18/18-28,0-26/26-28,true,248.7500,144.3900,104.3600,41.9538,
thermal,speed=0.3,0-18/18-28,0-27/27-28,true,331.5000,165.0000,166.5000,50.2262,
thermal,speed=0.2,0-18/18-28,0-28/28-28,true,497.0000,199.2900,297.7100,59.9014,
thermal,speed=0.1,0-18/18-28,0-28/28-28,true,993.5000,199.2900,794.2100,79.9406,
network,delay=0ms,0-18/18-28,0-18/18-28,false,99.9900,99.9900,0.0000,0.0000,
network,delay=5ms,0-18/18-28,0-18/18-28,false,104.3000,104.3000,0.0000,0.0000,
network,delay=10ms,0-18/18-28,0-19/19-28,true,109.3000,105.5400,3.7600,3.4401,
network,delay=20ms,0-18/18-28,0-20/20-28,true,119.3000,111.0900,8.2100,6.8818,
network,delay=40ms,0-18/18-28,0-22/22-28,true,139.3000,122.1900,17.1100,12.2828,
network,delay=80ms,0-18/18-28,0-25/25-28,true,179.3000,140.4500,38.8500,21.6676,
network,delay=120ms,0-18/18-28,0-27/27-28,true,219.3000,169.3500,49.9500,22.7770,
network,delay=200ms,0-18/18-28,0-28/28-28,true,299.3000,199.2900,100.0100,33.4146,
device loss,2->1 workers,0-18/18-28,0-28,true,0.0000,199.2900,0.0000,0.0000,"not optional: the baseline split is unservable, so 'stay' has no defined cost"
