phase,context_length,component,metric,median,iqr,n_reps
prefill,128,layer_0,ms_per_token,0.26426138281249223,0.02537652148498637,20
prefill,128,layer_1,ms_per_token,0.26021500781234863,0.014306013671102846,20
prefill,128,layer_2,ms_per_token,0.26194924999981595,0.020063236328041967,20
prefill,128,layer_3,ms_per_token,0.2654091992180838,0.013667992187492928,20
prefill,128,layer_4,ms_per_token,0.26477211328119665,0.010908089843724156,20
prefill,128,layer_5,ms_per_token,0.2538031210938243,0.017058646484542805,20
prefill,128,layer_6,ms_per_token,0.25745785546860134,0.009606269531673206,20
prefill,128,layer_7,ms_per_token,0.2632688007820434,0.017051240234650322,20
prefill,128,layer_8,ms_per_token,0.25981585546878705,0.015531169921587207,20
prefill,128,layer_9,ms_per_token,0.25607350781274363,0.03472855663926566,20
prefill,128,layer_10,ms_per_token,0.266843226562969,0.018786699218026115,20
prefill,128,layer_11,ms_per_token,0.2599557773446577,0.00531697851545232,20
prefill,128,layer_12,ms_per_token,0.2617254296878855,0.014653054688324119,20
prefill,128,layer_13,ms_per_token,0.24723166796889018,0.005960908202723658,20
prefill,128,layer_14,ms_per_token,0.24846837109407716,0.010178931639984512,20
prefill,128,layer_15,ms_per_token,0.24992212890629162,0.00954375781248018,20
prefill,128,layer_16,ms_per_token,0.2603406132816417,0.03334672851644882,20
prefill,128,layer_17,ms_per_token,0.2619222343751062,0.01663669335812301,20
prefill,128,layer_18,ms_per_token,0.26847100390614287,0.009830501953047133,20
prefill,128,layer_19,ms_per_token,0.2690059726560321,0.012662261719469825,20
prefill,128,layer_20,ms_per_token,0.26996910937486973,0.022493269530173166,20
prefill,128,layer_21,ms_per_token,0.27322918749973724,0.01978071679718596,20
prefill,128,layer_22,ms_per_token,0.26947129296922867,0.014393958984555866,20
prefill,128,layer_23,ms_per_token,0.2648695156249232,0.011010931639702903,20
prefill,128,layer_24,ms_per_token,0.2645431757823644,0.01069438281388102,20
prefill,128,layer_25,ms_per_token,0.25586226171867565,0.01081651367064751,20
prefill,128,layer_26,ms_per_token,0.2568575585942199,0.008043751952072853,20
prefill,128,layer_27,ms_per_token,0.26849366406258923,0.008208763671746055,20
prefill,128,embed_tokens,ms_total_seq,0.22763199999462813,0.03829249997215811,20
prefill,128,lm_head,ms_total_seq,300.424010000017,15.887704750013654,20
prefill,128,TOTAL_WALL,ms_total_seq,1279.2931910000334,41.331350000051316,20
decode,128,layer_0,ms_per_layer,6.111988499935251,0.14183725000475533,20
decode,128,layer_1,ms_per_layer,5.742457999964245,0.10815949988318607,20
decode,128,layer_2,ms_per_layer,5.655731500068214,0.15259424998657778,20
decode,128,layer_3,ms_per_layer,5.572967499960214,0.13624799987883307,20
decode,128,layer_4,ms_per_layer,5.677677500061691,0.2081557500641793,20
decode,128,layer_5,ms_per_layer,5.350179000000935,0.19062650005798787,20
decode,128,layer_6,ms_per_layer,5.098296999989543,0.18071674997918308,20
decode,128,layer_7,ms_per_layer,5.617330499982927,0.23000925008091144,20
decode,128,layer_8,ms_per_layer,5.398020499909762,0.12332125013926998,20
decode,128,layer_9,ms_per_layer,5.127779999980703,0.14354274998186156,20
decode,128,layer_10,ms_per_layer,5.662142499990296,0.15159225001116283,20
decode,128,layer_11,ms_per_layer,5.554582499957178,0.20984700007829815,20
decode,128,layer_12,ms_per_layer,5.259589999972377,0.19518399980734102,20
decode,128,layer_13,ms_per_layer,4.7534204999683425,0.1747135000769049,20
decode,128,layer_14,ms_per_layer,5.053662499936763,0.15100624994374812,20
decode,128,layer_15,ms_per_layer,4.848859499965329,0.13133300017216243,20
decode,128,layer_16,ms_per_layer,5.375157999922521,0.17502375016920269,20
decode,128,layer_17,ms_per_layer,5.536083500017412,0.1837387501145713,20
decode,128,layer_18,ms_per_layer,5.697319000028074,0.2049204999639187,20
decode,128,layer_19,ms_per_layer,5.842638500034809,0.16074000002117828,20
decode,128,layer_20,ms_per_layer,5.863446000032127,0.22828800007118843,20
decode,128,layer_21,ms_per_layer,5.778655499976594,0.19853424991015345,20
decode,128,layer_22,ms_per_layer,5.89515949995257,0.1806942500115838,20
decode,128,layer_23,ms_per_layer,5.663438499963377,0.25285874999826774,20
decode,128,layer_24,ms_per_layer,5.525223000033293,0.2956577499571722,20
decode,128,layer_25,ms_per_layer,5.1538455000845715,0.13961000004201196,20
decode,128,layer_26,ms_per_layer,5.239298999949824,0.22517049996531568,20
decode,128,layer_27,ms_per_layer,5.892018999962602,0.19777275016531348,20
decode,128,embed_tokens,ms_per_token,0.08324399997945875,0.006682250008452684,20
decode,128,lm_head,ms_per_token,37.62867700000061,0.3906707500864286,20
decode,128,TOTAL_WALL,ms_per_token,195.58017349999864,3.5652792499458883,20
kv_cache,128,per_layer,bytes_per_token,8192.0,0,1
kv_cache,128,all_layers,bytes_per_token,229376.0,0,1
kv_cache,128,all_layers,bytes_total_measured,29360128,0,1
prefill,512,layer_0,ms_per_token,0.20801789453116726,0.00519489599599865,20
prefill,512,layer_1,ms_per_token,0.20954565527335944,0.005762144042989803,20
prefill,512,layer_2,ms_per_token,0.2092545302734834,0.007279165527563691,20
prefill,512,layer_3,ms_per_token,0.20894744433599044,0.0051764824222573225,20
prefill,512,layer_4,ms_per_token,0.20915833398453287,0.007271276367248447,20
prefill,512,layer_5,ms_per_token,0.20802618749996782,0.005309945800661353,20
prefill,512,layer_6,ms_per_token,0.20847236523445645,0.004118537597719296,20
prefill,512,layer_7,ms_per_token,0.2087390664061104,0.006400880859530389,20
prefill,512,layer_8,ms_per_token,0.20833559472669094,0.00659018994156213,20
prefill,512,layer_9,ms_per_token,0.2075823056641184,0.00323220019515702,20
prefill,512,layer_10,ms_per_token,0.20919263183600378,0.0036156870116315076,20
prefill,512,layer_11,ms_per_token,0.2101079003907671,0.005702599121093499,20
prefill,512,layer_12,ms_per_token,0.2089126025390442,0.00759407812495283,20
prefill,512,layer_13,ms_per_token,0.20548349902344398,0.00459255957031246,20
prefill,512,layer_14,ms_per_token,0.207319877929649,0.004573814941238652,20
prefill,512,layer_15,ms_per_token,0.2080891044922737,0.0053179379883090405,20
prefill,512,layer_16,ms_per_token,0.20798807617200055,0.0024191259765302675,20
prefill,512,layer_17,ms_per_token,0.2096897050781763,0.0033855590818916426,20
prefill,512,layer_18,ms_per_token,0.21048804785141328,0.004532721191310429,20
prefill,512,layer_19,ms_per_token,0.21101809667970883,0.004891083984546185,20
prefill,512,layer_20,ms_per_token,0.21047062304694464,0.007000824707006359,20
prefill,512,layer_21,ms_per_token,0.2098625634768041,0.00309830419928403,20
prefill,512,layer_22,ms_per_token,0.21019584277348713,0.0048360917969034745,20
prefill,512,layer_23,ms_per_token,0.20922387011705723,0.003635910156162936,20
prefill,512,layer_24,ms_per_token,0.21086323437486953,0.00817307080063756,20
prefill,512,layer_25,ms_per_token,0.20756157910147977,0.003910054687480624,20
prefill,512,layer_26,ms_per_token,0.20783751269539152,0.0043220302735562655,20
prefill,512,layer_27,ms_per_token,0.2107370156249999,0.0068402460939864795,20
prefill,512,embed_tokens,ms_total_seq,0.5293020000099204,0.030996749992482364,20
prefill,512,lm_head,ms_total_seq,779.7490485000308,10.233952500100713,20
prefill,512,TOTAL_WALL,ms_total_seq,3797.441566500056,47.43903874984244,20
decode,512,layer_0,ms_per_layer,6.638159499969333,0.18558549997396767,20
decode,512,layer_1,ms_per_layer,6.2817105000140145,0.14250225006253459,20
decode,512,layer_2,ms_per_layer,6.288674500014167,0.1678532500518486,20
decode,512,layer_3,ms_per_layer,6.1641059999819845,0.06645425001624972,20
decode,512,layer_4,ms_per_layer,6.367379000002984,0.1162060001224745,20
decode,512,layer_5,ms_per_layer,6.118410999944899,0.09032250003656372,20
decode,512,layer_6,ms_per_layer,5.837119000032544,0.11829324989230372,20
decode,512,layer_7,ms_per_layer,6.361322499986272,0.11879049998242408,20
decode,512,layer_8,ms_per_layer,6.030324999999721,0.1389562500116881,20
decode,512,layer_9,ms_per_layer,5.8965045000077225,0.1470125000923872,20
decode,512,layer_10,ms_per_layer,6.364546499971766,0.13973874982912093,20
decode,512,layer_11,ms_per_layer,6.3177689999574795,0.11431924998760223,20
decode,512,layer_12,ms_per_layer,5.99571750004543,0.1594735000107903,20
decode,512,layer_13,ms_per_layer,5.537875999987591,0.11208950006403029,20
decode,512,layer_14,ms_per_layer,5.839947000029497,0.14081175008323044,20
decode,512,layer_15,ms_per_layer,5.581037500000093,0.17544474996975623,20
decode,512,layer_16,ms_per_layer,5.9904130000504665,0.1912794999370817,20
decode,512,layer_17,ms_per_layer,6.251765499997418,0.215168250084389,20
decode,512,layer_18,ms_per_layer,6.369576000026427,0.25786525002331473,20
decode,512,layer_19,ms_per_layer,6.5578179999720305,0.2938092499389313,20
decode,512,layer_20,ms_per_layer,6.47403799998574,0.27773800009163097,20
decode,512,layer_21,ms_per_layer,6.474427499982994,0.21429825006634928,20
decode,512,layer_22,ms_per_layer,6.5940410000039265,0.1796987500274554,20
decode,512,layer_23,ms_per_layer,6.3628264999133535,0.1801387499726843,20
decode,512,layer_24,ms_per_layer,6.257554000010714,0.21948099992005154,20
decode,512,layer_25,ms_per_layer,5.802769500063732,0.1141077499196399,20
decode,512,layer_26,ms_per_layer,5.879312500008382,0.16785225010244176,20
decode,512,layer_27,ms_per_layer,11.527146999898832,0.6021822499751579,20
decode,512,embed_tokens,ms_per_token,0.07863800006452948,0.006522249954286963,20
decode,512,lm_head,ms_per_token,37.227657500014175,0.40570424997713417,20
decode,512,TOTAL_WALL,ms_per_token,219.20239300007233,2.5623917499906383,20
kv_cache,512,per_layer,bytes_per_token,8192.0,0,1
kv_cache,512,all_layers,bytes_per_token,229376.0,0,1
kv_cache,512,all_layers,bytes_total_measured,117440512,0,1
prefill,1024,layer_0,ms_per_token,0.1926182993163934,0.004627896240208429,20
prefill,1024,layer_1,ms_per_token,0.19207072949228632,0.0034939216308487175,20
prefill,1024,layer_2,ms_per_token,0.19197510156243425,0.0037621721191385404,20
prefill,1024,layer_3,ms_per_token,0.1925597548828364,0.004670778320331692,20
prefill,1024,layer_4,ms_per_token,0.19153425488281073,0.00466718554676504,20
prefill,1024,layer_5,ms_per_token,0.1924576743163584,0.005248402587795908,20
prefill,1024,layer_6,ms_per_token,0.19145247949217037,0.004932762207005226,20
prefill,1024,layer_7,ms_per_token,0.1931203662109624,0.003924530761736378,20
prefill,1024,layer_8,ms_per_token,0.1914479365234456,0.004051978759719077,20
prefill,1024,layer_9,ms_per_token,0.1911110576172632,0.002165785888649907,20
prefill,1024,layer_10,ms_per_token,0.19337587402344525,0.003946322509818856,20
prefill,1024,layer_11,ms_per_token,0.19232759521486287,0.0027878076171532484,20
prefill,1024,layer_12,ms_per_token,0.1911226293946129,0.0036912324218576487,20
prefill,1024,layer_13,ms_per_token,0.19016070849608013,0.004407677734405979,20
prefill,1024,layer_14,ms_per_token,0.19031342968747822,0.0029749287109552824,20
prefill,1024,layer_15,ms_per_token,0.19035890478517103,0.003325799804599683,20
prefill,1024,layer_16,ms_per_token,0.19095265917962934,0.004864617431621809,20
