concurrency,status,ttft_ms_median,ttft_ms_iqr,inter_token_ms_median,inter_token_ms_iqr,completion_latency_ms_median,completion_latency_ms_iqr,aggregate_tokens_per_sec,completion_rate,n_completed,n_requested,peak_rss_kb,wall_time_s
1,ok,3986.549840999942,0.0,213.36094999969646,9.515222499885567,58288.54247399977,0.0,4.391762365080404,1.0,1,1,4754468,58.290949901000204
2,ok,7002.564645500115,98.9203634999285,368.3258884998395,23.193350249812283,101220.5682985002,158.9951775001682,5.050063283645975,1.0,2,2,4754520,101.38486811799976
4,ok,14476.482561499779,131.9973442501796,711.1523989999569,37.48250999990432,195973.56194550003,234.65691750013502,5.216042906389474,1.0,4,4,4868724,196.31740351400003
8,ok,28866.71739450003,566.737527999976,1690.8222014994863,94.29295675022331,459546.73014250014,972.4126972500817,4.4498107159553735,1.0,8,8,7021088,460.2442959330001
